WHO report date,"Total Deaths, Guinea","Total Deaths, Liberia","Total Deaths, Sierra Leone"
01/03/2014,0,0,0
02/03/2014,0,0,0
03/03/2014,0,0,0
04/03/2014,0,0,0
05/03/2014,0,0,0
06/03/2014,0,0,0
07/03/2014,0,0,0
08/03/2014,0,0,0
09/03/2014,0,0,0
10/03/2014,0,0,0
11/03/2014,0,0,0
12/03/2014,0,0,0
13/03/2014,0,0,0
14/03/2014,0,0,0
15/03/2014,0,0,0
16/03/2014,0,0,0
17/03/2014,0,0,0
18/03/2014,0,0,0
19/03/2014,0,0,0
20/03/2014,0,0,0
21/03/2014,0,0,0
22/03/2014,0,0,0
23/03/2014,0,0,0
24/03/2014,0,0,0
25/03/2014,59,0,0
26/03/2014,60,0,0
27/03/2014,66,6,0
31/03/2014,70,6,0
01/04/2014,80,6,0
02/04/2014,83,6,0
07/04/2014,95,7,0
10/04/2014,101,14,0
17/04/2014,122,14,0
21/04/2014,129,14,0
23/04/2014,136,14,0
30/04/2014,146,14,0
05/05/2014,155,14,0
14/05/2014,157,14,0
23/05/2014,174,14,0
27/05/2014,174,14,4
28/05/2014,186,14,5
02/06/2014,193,14,6
05/06/2014,215,14,7
10/06/2014,236,14,7
11/06/2014,241,14,19
18/06/2014,264,24,49
24/06/2014,270,34,49
02/07/2014,303,65,99
07/07/2014,305,75,101
08/07/2014,307,84,127
14/07/2014,309,88,142
16/07/2014,309,105,192
21/07/2014,310,116,206
24/07/2014,314,127,219
28/07/2014,319,129,224
31/07/2014,339,156,233
03/08/2014,346,227,252
04/08/2014,358,255,273
08/08/2014,367,294,298
12/08/2014,373,323,315
13/08/2014,377,355,334
15/08/2014,380,355,348
19/08/2014,394,466,365
21/08/2014,396,576,374
22/08/2014,406,624,392
28/08/2014,430,694,422
06/09/2014,517,1089,491
08/09/2014,555,1224,509
12/09/2014,557,1224,524
16/09/2014,595,1296,562
18/09/2014,601,1459,562
22/09/2014,632,1578,593
24/09/2014,635,1677,597
26/09/2014,648,1830,605
01/10/2014,710,1998,622
03/10/2014,739,2069,623
08/10/2014,768,2210,879
10/10/2014,778,2316,930
15/10/2014,843,2458,1183
17/10/2014,862,2484,1200
22/10/2014,904,2705,1359
25/10/2014,926,2705,1359
29/10/2014,997,2705,1500
31/10/2014,1018,2705,1510
05/11/2014,1041,2705,1510
07/11/2014,1054,2766,1510
12/11/2014,1054,2836,1510
14/11/2014,1166,2836,1510
19/11/2014,1192,2964,1510
21/11/2014,1214,2964,1510
26/11/2014,1260,3016,1510
28/11/2014,1312,3145,1530
03/12/2014,1327,3145,1583
10/12/2014,1428,3177,1768
17/12/2014,1525,3290,2085
24/12/2014,1607,3384,2582
31/12/2014,1708,3423,2758
07/01/2015,1781,3496,2943
14/01/2015,1814,3538,3062
21/01/2015,1876,3605,3145
28/01/2015,1910,3686,3199
04/02/2015,1944,3746,3276
11/02/2015,1995,3826,3341
18/02/2015,2057,3900,3408
25/02/2015,2091,4037,3461
04/03/2015,2129,4117,3546
11/03/2015,2170,4162,3629
18/03/2015,2224,4264,3691
25/03/2015,2263,4301,3747
01/04/2015,2314,4332,3799
08/04/2015,2333,4408,3831
15/04/2015,2346,4486,3857
22/04/2015,2358,4573,3877
29/04/2015,2377,4608,3899
06/05/2015,2386,4716,3903
13/05/2015,2392,4769,3904
20/05/2015,2407,4806,3907
27/05/2015,2420,4806,3908
03/06/2015,2429,4806,3912
10/06/2015,2437,4806,3915
17/06/2015,2444,4806,3919
24/06/2015,2473,4806,3928
01/07/2015,2482,4806,3932
08/07/2015,2499,4807,3940
15/07/2015,2506,4808,3947
22/07/2015,2512,4808,3949
29/07/2015,2520,4808,3951
05/08/2015,2522,4808,3951
12/08/2015,2524,4808,3951
19/08/2015,2524,4808,3952
26/08/2015,2527,4808,3952
03/09/2015,2529,4808,3953
10/09/2015,2530,4808,3953
17/09/2015,2530,4808,3953
24/09/2015,2532,4808,3955
01/10/2015,2533,4808,3955
08/10/2015,2534,4808,3955
15/10/2015,2534,4808,3955
22/10/2015,2535,4808,3955
29/10/2015,2535,4808,3955
05/11/2015,2536,4808,3955
11/11/2015,2536,4808,3955
18/11/2015,2536,4808,3955
25/11/2015,2536,4808,3955
02/12/2015,2536,4809,3955
09/12/2015,2536,4809,3955
16/12/2015,2536,4809,3955
23/12/2015,2536,4809,3955
30/12/2015,2536,4809,3955
06/01/2016,2536,4809,3955
13/01/2016,2536,4809,3955
20/01/2016,2536,4809,3956
27/01/2016,2536,4809,3956
03/02/2016,2536,4809,3956
10/02/2016,2536,4809,3956
17/02/2016,2536,4809,3956
